,RCDTS,School_Name,School_Type,County,#_Student_Enrollment,Perc_Student_Enrollment_Low_Income,Student_Attendance_Rate,$_Site_level_Per_Pupil_Expenditures_Subtotal,$_District_Centralized_Per_Pupil_Expenditure_Subtotal,$_Total_Per_Pupil_Expenditures_Subtotal,SAT_Reading_Average,SAT_Math_Average,Address,City,County_Name,Rec_Type,Zip,Lat,Lng,Avg_Home_Value
1009,7.01621E+13,Bloom High School,HIGH SCHOOL,Cook,1642,86.2,89.8,1216.16,16057.98,17274.14,447.8,434.7,101 W 10th St,Chicago Heights,Cook,Sch,60411,41.5159752,-87.6445473,94208.17
1009,7.01621E+13,Bloom Trail High School,HIGH SCHOOL,Cook,1225,78.2,88.7,678.39,16057.98,16736.37,439,415.9,22331 Cottage Grove Ave,Chicago Heights,Cook,Sch,60411,41.4824245,-87.5927138,94208.17
5693,7.01621E+13,Lemont Twp High School,HIGH SCHOOL,Cook,1373,11.9,94.3,17177.71,0,17177.71,546,551.4,800 Porter St,Lemont,Cook,Sch,60439,41.6735297,-87.99158,384413.25
2085,7.01622E+13,Thornton Fractnl No High School,HIGH SCHOOL,Cook,1312,70.7,94.6,13115.04,4343.01,17458.05,439.8,421.7,755 Pulaski Rd,Calumet City,Cook,Sch,60409,41.6143474,-87.5451483,96403.67
3567,7.01622E+13,Thornton Fractnl So High School,HIGH SCHOOL,Cook,1821,65.1,95.2,11765.04,4343.01,16108.05,453.2,439.6,18500 Burnham Ave,Lansing,Cook,Sch,60438,41.5586067,-87.5412853,121784.58
10697,7.01622E+13,Argo Community High School,HIGH SCHOOL,Cook,1922,64,93.6,14772.82,2995.03,17767.85,469.1,483.8,7329 W 63rd St,Summit,Cook,Sch,60501,41.7751752,-87.8039966,189780.83
5517,7.01622E+13,DD Eisenhower High Sch (Campus),HIGH SCHOOL,Cook,1809,84,92.3,13527,5649,19176,437.7,436.9,12700 Sacramento Ave,Blue Island,Cook,Sch,60406,41.6617824,-87.6957612,129639.58
402,7.01622E+13,H L Richards High Sch(Campus),HIGH SCHOOL,Cook,1640,62.7,92.9,14529,5412,19941,454.4,452.9,10601 Central Ave,Oak Lawn,Cook,Sch,60453,41.6988579,-87.7571127,212858.17
402,7.01623E+13,Oak Lawn Comm High School,HIGH SCHOOL,Cook,1841,39.6,95,19303,0,19303,477.6,482.6,9400 Southwest Hwy,Oak Lawn,Cook,Sch,60453,41.7205411,-87.7691649,212858.17
8010,7.01622E+13,A B Shepard High Sch (Campus),HIGH SCHOOL,Cook,1755,62.8,93.1,14474,5602,20076,487.8,473.6,13049 S Ridgeland Ave,Palos Heights,Cook,Sch,60463,41.6550845,-87.7757889,283107.33
5309,7.01622E+13,Reavis High School,HIGH SCHOOL,Cook,1841,40.6,95.4,17577,0,17577,474.7,477.6,6034 W 77th St,Burbank,Cook,Sch,60459,41.75356,-87.776318,205745.08
13358,7.01623E+13,Rich Central Campus High School,HIGH SCHOOL,Cook,1053,74,88.2,19431.36931,788.0138422,20219.38315,432.3,420.5,3600 W 203rd St,Olympia Fields,Cook,Sch,60461,41.523021,-87.7059589,224345.83
8549,7.01623E+13,Rich South Campus High School,HIGH SCHOOL,Cook,902,80.5,88.6,20440.23109,788.0138422,21228.24493,442.4,428.1,5000 Sauk Trl,Richton Park,Cook,Sch,60471,41.4859804,-87.7375762,134829.5
8305,7.01623E+13,Bremen High School,HIGH SCHOOL,Cook,1417,36.8,91.8,8246.7,7820.62,16067.32,445.4,442.4,15203 Pulaski Rd,Midlothian,Cook,Sch,60445,41.6155115,-87.7155683,158857.08
1751,7.01623E+13,Tinley Park High School,HIGH SCHOOL,Cook,970,28.9,91.1,9400.14,7677.33,17077.47,495.8,491.7,6111 175th St,Tinley Park,Cook,Sch,60477,41.5714656,-87.7671084,219140.58
7662,7.01623E+13,Hillcrest High School,HIGH SCHOOL,Cook,1146,55.6,82.3,9963.37,7993.41,17956.78,423.9,415.9,17401 Pulaski Rd,Country Club Hills,Cook,Sch,60478,41.5733525,-87.7121816,135194.67
4549,7.01623E+13,Oak Forest High School,HIGH SCHOOL,Cook,1362,28.5,90.2,9117.31,8099.91,17217.22,498.8,490.2,15201 Central Ave,Oak Forest,Cook,Sch,60452,41.6154668,-87.75296,202638.67
1586,7.01623E+13,Carl Sandburg High School,HIGH SCHOOL,Cook,2816,12.4,98,12006.2115,5825.4496,17831.6611,531,529.1,13300 S La Grange Rd,Orland Park,Cook,Sch,60462,41.6497963,-87.8563933,288591.33
6703,7.01623E+13,Amos Alonzo Stagg High School,HIGH SCHOOL,Cook,2272,33.4,95.6,11706.3412,5773.2233,17479.5645,507.5,512.5,8015 W 111th St,Palos Hills,Cook,Sch,60465,41.6878991,-87.8185898,240993.67
5555,7.01623E+13,Victor J Andrew High School,HIGH SCHOOL,Cook,2211,17.6,96.4,11924.7972,5888.8697,17813.6669,522.2,516.9,9001 171st St,Orland Hills,Cook,Sch,60487,41.577298,-87.8390749,270383.67
6762,7.01623E+13,Evergreen Park High School,HIGH SCHOOL,Cook,806,31.6,94.5,21269.11,0,21269.11,501.3,503.7,9901 S Kedzie Ave,Evergreen Park,Cook,Sch,60805,41.7123545,-87.6998639,190129.08
10013,7.01623E+13,Homewood-Flossmoor High School,HIGH SCHOOL,Cook,2771,19.6,94.2,13060.9855,5150.6391,18211.6246,512.3,503.4,999 Kedzie Ave,Flossmoor,Cook,Sch,60422,41.546143,-87.691443,225180.58
55,1.50163E+14,Amundsen High School,HIGH SCHOOL,Cook,1289,75.3,91.3,9256.93,3323.03,12579.96,481.3,489.8,5110 N Damen Ave,Chicago,Cook,Sch,60625,41.9750696,-87.6800719,367709.25
55,1.50163E+14,Roosevelt High School,HIGH SCHOOL,Cook,954,94.1,89.2,10514,3498.62,14012.62,421.9,421.1,3436 W Wilson Ave,Chicago,Cook,Sch,60625,41.9650389,-87.7144907,367709.25
55,1.50163E+14,Von Steuben Metro Science HS,HIGH SCHOOL,Cook,1772,66.3,92.7,7765.94,2798.72,10564.66,519.8,532.5,5039 N Kimball Ave,Chicago,Cook,Sch,60625,41.9732156,-87.7130686,367709.25
55,1.50163E+14,Northside College Preparatory Hs,HIGH SCHOOL,Cook,1090,44,94.3,8198.18,2770.97,10969.15,662.1,663.2,5501 N Kedzie Ave,Chicago,Cook,Sch,60625,41.9812005,-87.7079477,367709.25
3110,1.50163E+14,Bogan High School,HIGH SCHOOL,Cook,828,90,83.1,9619.64,4046.54,13666.18,406.1,400.3,3939 W 79th St,Chicago,Cook,Sch,60652,41.748772,-87.7208789,186036.25
3110,1.50163E+14,Goode STEM Academy HS,HIGH SCHOOL,Cook,917,85.8,88.8,9370.13,3204.26,12574.39,429.8,436.6,7651 S Homan Ave,Chicago,Cook,Sch,60652,41.7538526,-87.706639,186036.25
4614,1.50163E+14,Carver Military Academy HS,HIGH SCHOOL,Cook,481,85,93.3,9987.89,4913.59,14901.48,459,469.2,13100 S Doty Ave,Chicago,Cook,Sch,60827,41.6565611,-87.5894723,64046.75
1110,1.50163E+14,Farragut Career Academy HS,HIGH SCHOOL,Cook,651,97.4,85.4,12405.79,3990.62,16396.41,413.2,414.3,2345 S Christiana Ave,Chicago,Cook,Sch,60623,41.8495507,-87.7081787,139389.17
1110,1.50163E+14,Spry Community Links High School,HIGH SCHOOL,Cook,127,92.9,82.5,15462.71,4269.85,19732.56,422.2,421.9,2400 S Marshall Blvd,Chicago,Cook,Sch,60623,41.8475985,-87.6997802,139389.17
1110,1.50163E+14,World Language High School,HIGH SCHOOL,Cook,353,96.6,91.6,9355.67,2995.6,12351.27,440.5,424,3120 S Kostner Ave,Chicago,Cook,Sch,60623,41.8354286,-87.7356529,139389.17
1110,1.50163E+14,School of Social Justice HS,HIGH SCHOOL,Cook,300,95.3,87.2,9639.36,3402.03,13041.39,425.6,434.1,3120 S Kostner Ave,Chicago,Cook,Sch,60623,41.8354286,-87.7356529,139389.17
1110,1.50163E+14,Multicultural Acad of Scholarshp HS,HIGH SCHOOL,Cook,220,95.5,85.1,10904.06,3456.62,14360.68,407.8,402.7,3120 S Kostner Ave,Chicago,Cook,Sch,60623,41.8354286,-87.7356529,139389.17
1110,1.50163E+14,Infinity Math  Science & Tech HS,HIGH SCHOOL,Cook,407,95.8,93.7,9383.15,2733.11,12116.26,439.3,488.8,3120 S Kostner Ave,Chicago,Cook,Sch,60623,41.8354286,-87.7356529,139389.17
1110,1.50163E+14,Collins Academy High School,HIGH SCHOOL,Cook,218,96.8,82.9,15194.73,3437.04,18631.77,400.8,395.9,1313 S Sacramento Dr,Chicago,Cook,Sch,60623,41.8643835,-87.7013284,139389.17
255,1.50163E+14,Fenger Academy High School,HIGH SCHOOL,Cook,203,92.6,83.2,14956.49,5261.56,20218.05,392.2,372.1,11220 S Wallace St,Chicago,Cook,Sch,60628,41.6897069,-87.63784,104662.67
255,1.50163E+14,Harlan Community Academy HS,HIGH SCHOOL,Cook,328,94.8,82.8,13360.05,4043.92,17403.97,400.3,380,9652 S Michigan Ave,Chicago,Cook,Sch,60628,41.71761,-87.6215689,104662.67
255,1.50163E+14,Corliss High School,HIGH SCHOOL,Cook,272,91.2,83.7,15516.1,5051.2,20567.3,402.4,394.6,821 E 103rd St,Chicago,Cook,Sch,60628,41.7066424,-87.6027457,104662.67
255,1.50163E+14,Brooks College Prep Academy HS,HIGH SCHOOL,Cook,986,67.6,91,8209.25,4180.62,12389.87,565.8,559.6,250 E 111th St,Chicago,Cook,Sch,60628,41.6941786,-87.616941,104662.67
376,1.50163E+14,Foreman High School,HIGH SCHOOL,Cook,739,94.5,84.6,11913.99,3652.15,15566.14,393.4,392.6,3235 N Leclaire Ave,Chicago,Cook,Sch,60641,41.9395869,-87.7532676,301724.67
376,1.50163E+14,Schurz High School,HIGH SCHOOL,Cook,1607,88.6,86.3,9648.24,3381.77,13030.01,429.5,423.5,3601 N Milwaukee Ave,Chicago,Cook,Sch,60641,41.9474657,-87.7352863,301724.67
1510,1.50163E+14,Back of The Yards IB HS,HIGH SCHOOL,Cook,1067,92.9,93.3,8108.26,2753.85,10862.11,475,490.7,2111 W 47th St,Chicago,Cook,Sch,60609,41.8077436,-87.6776045,180361.42
