,RCDTS,School_Name,School_Type,County,#_Student_Enrollment,Perc_Student_Enrollment_Low_Income,Student_Attendance_Rate,$_Site_level_Per_Pupil_Expenditures_Subtotal,$_District_Centralized_Per_Pupil_Expenditure_Subtotal,$_Total_Per_Pupil_Expenditures_Subtotal,SAT_Reading_Average,SAT_Math_Average,Address,City,County_Name,Rec_Type,Zip,Lat,Lng,Avg_Home_Value
3477,1.50163E+14,Orr Academy High School,HIGH SCHOOL,Cook,223,92.8,74.4,15166.53,3584.53,18751.06,390.9,381.3,730 N Pulaski Rd,Chicago,Cook,Sch,60624,41.8941496,-87.7264621,136883.17
3477,1.50163E+14,Westinghouse High School,HIGH SCHOOL,Cook,1203,76.6,93,7726.54,3047.28,10773.82,521,527.2,3223 W Franklin Blvd,Chicago,Cook,Sch,60624,41.889428,-87.7073041,136883.17
2872,1.50163E+14,Mather High School,HIGH SCHOOL,Cook,1486,86.5,89.4,8578.56,2997.59,11576.15,450.4,461.5,5835 N Lincoln Ave,Chicago,Cook,Sch,60659,41.988255,-87.7007878,330284
895,1.50163E+14,Morgan Park High School,HIGH SCHOOL,Cook,1225,86.1,86.7,9680.12,3432.09,13112.21,444.5,431.7,1744 W Pryor Ave,Chicago,Cook,Sch,60643,41.6919932,-87.6660502,172921.33
895,1.50163E+14,Julian High School,HIGH SCHOOL,Cook,449,85.7,81,13326.8,4046.94,17373.74,388.7,376.1,10330 S Elizabeth St,Chicago,Cook,Sch,60643,41.7061464,-87.6542595,172921.33
895,1.50163E+14,Chicago Excel Academy HS,HIGH SCHOOL,Cook,294,85,79.7,13951.78927,1300.54,15252.32927,399.5,375.4,1257 W 111th St,Chicago,Cook,Sch,60643,41.6919111,-87.6543366,172921.33
1881,1.50163E+14,Phillips Academy High School,HIGH SCHOOL,Cook,738,94.4,80.6,9248.69,3347.82,12596.51,398.5,393.4,244 E Pershing Rd,Chicago,Cook,Sch,60653,41.8243586,-87.6198006,292321.5
1881,1.50163E+14,King College Prep High School,HIGH SCHOOL,Cook,514,79.2,89.8,11162.43,3948.29,15110.72,517.7,508,4445 S Drexel Blvd,Chicago,Cook,Sch,60653,41.8138791,-87.6027457,292321.5
1881,1.50163E+14,Chicago Military Academy HS,HIGH SCHOOL,Cook,299,73.9,90.8,10631.44,2912.27,13543.71,448.8,425.5,3519 S Giles Ave,Chicago,Cook,Sch,60653,41.8301051,-87.6189808,292321.5
399,1.50163E+14,Senn High School,HIGH SCHOOL,Cook,1414,79.6,90.6,8770.67,3134.6,11905.27,489.3,487.9,5900 N Glenwood Ave,Chicago,Cook,Sch,60660,41.9890169,-87.666424,268213.58
