,RegionID,SizeRank,Zip,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,AvgHomeValue
734,84460,740,60402,IL,Berwyn,Chicago-Naperville-Elgin,Cook County,219127.0,219488.0,219790.0,220118.0,219987.0,220158.0,220645.0,220852.0,220483.0,219641.0,218952.0,218632.0,219822.75
769,84639,775,60639,IL,Chicago,Chicago-Naperville-Elgin,Cook County,249599.0,248867.0,248415.0,248180.0,248131.0,247518.0,247086.0,246193.0,245722.0,245424.0,245294.0,244951.0,247115.0
853,84631,860,60630,IL,Chicago,Chicago-Naperville-Elgin,Cook County,318287.0,316895.0,316500.0,315884.0,315308.0,314881.0,314857.0,314566.0,313800.0,312972.0,311811.0,311454.0,314767.92
895,84642,902,60643,IL,Chicago,Chicago-Naperville-Elgin,Cook County,170336.0,171808.0,173113.0,174378.0,173965.0,173747.0,173538.0,173658.0,173329.0,172888.0,172392.0,171904.0,172921.33
1009,84466,1017,60411,IL,Chicago Heights,Chicago-Naperville-Elgin,Cook County,90558.0,90934.0,91674.0,92324.0,92820.0,93413.0,94450.0,95474.0,96205.0,96953.0,97480.0,98213.0,94208.17
1082,84693,1091,60804,IL,Cicero,Chicago-Naperville-Elgin,Cook County,186776.0,187365.0,187937.0,188721.0,188881.0,189279.0,189746.0,189906.0,189820.0,189577.0,189356.0,189310.0,188889.5
1110,84625,1119,60623,IL,Chicago,Chicago-Naperville-Elgin,Cook County,138123.0,138190.0,138966.0,140042.0,139792.0,139422.0,138863.0,139595.0,139784.0,139763.0,139899.0,140231.0,139389.17
1134,84633,1143,60632,IL,Chicago,Chicago-Naperville-Elgin,Cook County,184451.0,183696.0,182997.0,183313.0,184633.0,185756.0,186591.0,187699.0,188531.0,190073.0,191305.0,192753.0,186816.5
1226,84444,1237,60201,IL,Evanston,Chicago-Naperville-Elgin,Cook County,518076.0,516089.0,513881.0,512503.0,511486.0,510929.0,511392.0,511178.0,510218.0,508450.0,506430.0,504452.0,511257.0
1227,84607,1238,60605,IL,Chicago,Chicago-Naperville-Elgin,Cook County,389209.0,386956.0,384965.0,385360.0,386727.0,388105.0,389422.0,390000.0,390132.0,390493.0,390378.0,389895.0,388470.17
1464,84279,1478,60010,IL,Barrington,Chicago-Naperville-Elgin,Cook County,497523.0,496097.0,494709.0,494307.0,493120.0,491500.0,489466.0,487734.0,486025.0,484391.0,483102.0,482547.0,490043.42
1510,84611,1525,60609,IL,Chicago,Chicago-Naperville-Elgin,Cook County,180121.0,180785.0,180599.0,181001.0,180316.0,179968.0,179609.0,179801.0,180188.0,180468.0,180813.0,180668.0,180361.42
1527,84320,1542,60062,IL,Northbrook,Chicago-Naperville-Elgin,Cook County,540824.0,538378.0,536640.0,536469.0,536166.0,535768.0,535545.0,535337.0,534597.0,533877.0,532841.0,531406.0,535654.0
1586,84513,1601,60462,IL,Orland Park,Chicago-Naperville-Elgin,Cook County,288068.0,288084.0,288508.0,288939.0,289156.0,288829.0,288819.0,288810.0,288735.0,288696.0,288465.0,287987.0,288591.33
1610,84644,1625,60645,IL,Chicago,Chicago-Naperville-Elgin,Cook County,307934.0,306849.0,306027.0,306120.0,306211.0,306396.0,306396.0,306699.0,306794.0,307634.0,308052.0,308680.0,306982.67
1612,84651,1627,60654,IL,Chicago,Chicago-Naperville-Elgin,Cook County,424132.0,421870.0,420088.0,419748.0,420040.0,420924.0,421646.0,421621.0,420937.0,420354.0,419060.0,418282.0,420725.17
1622,84323,1637,60067,IL,Palatine,Chicago-Naperville-Elgin,Cook County,361954.0,360673.0,360078.0,359940.0,359459.0,358514.0,357976.0,357505.0,356930.0,356250.0,355419.0,354447.0,358262.08
