,RegionID,SizeRank,Zip,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,AvgHomeValue
8010,84514,8098,60463,IL,Palos Heights,Chicago-Naperville-Elgin,Cook County,280051.0,279824.0,280905.0,282263.0,283605.0,283751.0,284013.0,284069.0,284127.0,284452.0,284898.0,285330.0,283107.33
8014,84480,8102,60429,IL,Hazel Crest,Chicago-Naperville-Elgin,Cook County,109770.0,111001.0,112514.0,114255.0,115358.0,116266.0,116869.0,117229.0,116874.0,116533.0,116431.0,117164.0,115022.0
8194,84293,8283,60026,IL,Glenview,Chicago-Naperville-Elgin,Cook County,609654.0,606990.0,606189.0,605278.0,604675.0,603387.0,603251.0,602897.0,601897.0,600674.0,598434.0,595821.0,603262.25
8252,84559,8342,60526,IL,La Grange Park,Chicago-Naperville-Elgin,Cook County,339624.0,339262.0,339632.0,339507.0,339840.0,340043.0,340736.0,340847.0,340708.0,340970.0,340705.0,340349.0,340185.25
8254,84509,8344,60458,IL,Justice,Chicago-Naperville-Elgin,Cook County,210000.0,209572.0,209778.0,211136.0,211660.0,211717.0,211733.0,212088.0,212212.0,212217.0,211688.0,211413.0,211267.83
8278,84437,8369,60192,IL,Hoffman Estates,Chicago-Naperville-Elgin,Cook County,345312.0,344391.0,343963.0,344438.0,344450.0,343966.0,343709.0,343116.0,342329.0,341482.0,340754.0,340053.0,343163.58
8305,84496,8397,60445,IL,Crestwood,Chicago-Naperville-Elgin,Cook County,156928.0,157524.0,158098.0,158300.0,158437.0,158568.0,159348.0,159663.0,159858.0,159872.0,159814.0,159875.0,158857.08
8448,84508,8542,60457,IL,Hickory Hills,Chicago-Naperville-Elgin,Cook County,240106.0,239332.0,239273.0,239716.0,240210.0,240356.0,240800.0,241228.0,241299.0,240854.0,240234.0,239440.0,240237.33
8549,84522,8642,60471,IL,Richton Park,Chicago-Naperville-Elgin,Cook County,131237.0,131674.0,132607.0,134081.0,134952.0,135454.0,135821.0,136187.0,136499.0,136471.0,136463.0,136508.0,134829.5
8874,84533,8973,60482,IL,Worth,Chicago-Naperville-Elgin,Cook County,191610.0,191609.0,192028.0,192804.0,193608.0,193715.0,194303.0,194790.0,195375.0,195489.0,195664.0,195710.0,193892.08
8982,84634,9084,60633,IL,Chicago,Chicago-Naperville-Elgin,Cook County,121352.0,121463.0,122832.0,124027.0,124750.0,124353.0,124470.0,124728.0,125509.0,126217.0,126788.0,127416.0,124492.08
9132,84690,9235,60712,IL,Lincolnwood,Chicago-Naperville-Elgin,Cook County,388467.0,387464.0,386686.0,386625.0,386507.0,386548.0,387202.0,387272.0,386938.0,386048.0,384724.0,383475.0,386496.33
9169,84422,9273,60176,IL,Schiller Park,Chicago-Naperville-Elgin,Cook County,221166.0,221353.0,222238.0,223361.0,224108.0,223945.0,223854.0,223617.0,223642.0,223753.0,223621.0,223231.0,223157.42
9174,84586,9277,60558,IL,Western Springs,Chicago-Naperville-Elgin,Cook County,562962.0,562893.0,563858.0,565311.0,566282.0,567185.0,567357.0,567243.0,567032.0,567129.0,566666.0,566082.0,565833.33
9449,84417,9558,60171,IL,River Grove,Chicago-Naperville-Elgin,Cook County,225249.0,225030.0,224768.0,224978.0,225181.0,225278.0,225527.0,224916.0,223748.0,222641.0,222068.0,221397.0,224231.75
9513,84456,9622,60305,IL,River Forest,Chicago-Naperville-Elgin,Cook County,621495.0,621594.0,622956.0,621343.0,620243.0,618074.0,618481.0,618297.0,617960.0,617567.0,616004.0,614540.0,619046.17
9627,84564,9737,60534,IL,Lyons,Chicago-Naperville-Elgin,Cook County,189120.0,189285.0,189655.0,190786.0,191538.0,191729.0,192151.0,192332.0,192634.0,192930.0,192993.0,193436.0,191549.08
9636,84526,9747,60475,IL,Steger,Chicago-Naperville-Elgin,Cook County,83273.0,84217.0,84917.0,85811.0,86795.0,87881.0,89213.0,90059.0,90671.0,90715.0,90548.0,90486.0,87882.17
9854,84479,9968,60428,IL,Markham,Chicago-Naperville-Elgin,Cook County,73419.0,74285.0,75349.0,76338.0,77516.0,79358.0,81161.0,82032.0,82393.0,82397.0,82572.0,83018.0,79153.17
9875,84515,9990,60464,IL,Palos Park,Chicago-Naperville-Elgin,Cook County,374462.0,374683.0,374842.0,375573.0,377044.0,377661.0,378581.0,378958.0,379129.0,379570.0,379782.0,379566.0,377487.58
10013,84474,10132,60422,IL,Flossmoor,Chicago-Naperville-Elgin,Cook County,224147.0,223983.0,224012.0,225246.0,225713.0,225066.0,224712.0,224877.0,225621.0,226068.0,226368.0,226354.0,225180.58
10582,84477,10709,60425,IL,Glenwood,Chicago-Naperville-Elgin,Cook County,138485.0,139437.0,140346.0,141058.0,141138.0,141176.0,141517.0,142201.0,142699.0,143015.0,142741.0,142867.0,141390.0
10697,84537,10827,60501,IL,Summit,Chicago-Naperville-Elgin,Cook County,185071.0,185771.0,187200.0,189345.0,190122.0,190197.0,190241.0,190744.0,191385.0,191858.0,192497.0,192939.0,189780.83
10721,84405,10849,60155,IL,Broadview,Chicago-Naperville-Elgin,Cook County,181912.0,182388.0,182877.0,183293.0,183986.0,184615.0,185978.0,186608.0,187135.0,187219.0,187263.0,187197.0,185039.25
11092,84411,11223,60162,IL,Hillside,Chicago-Naperville-Elgin,Cook County,193382.0,193550.0,194134.0,195134.0,195652.0,196530.0,197870.0,199045.0,199484.0,199595.0,199682.0,199926.0,196998.67
11309,84291,11451,60022,IL,Glencoe,Chicago-Naperville-Elgin,Cook County,1055862.0,1055753.0,1057679.0,1058913.0,1059109.0,1059185.0,1061553.0,1064304.0,1063666.0,1063366.0,1063136.0,1063271.0,1060483.08
11760,84440,11912,60195,IL,Schaumburg,Chicago-Naperville-Elgin,Cook County,172300.0,171885.0,172029.0,172171.0,172087.0,171631.0,171563.0,171361.0,170980.0,170653.0,170312.0,170072.0,171420.33
11838,84608,11990,60606,IL,Chicago,Chicago-Naperville-Elgin,Cook County,393424.0,390288.0,387711.0,387070.0,387312.0,388363.0,389156.0,388286.0,386815.0,385524.0,385194.0,384784.0,387827.25
12662,84531,12837,60480,IL,Willow Springs,Chicago-Naperville-Elgin,Cook County,288571.0,287670.0,286971.0,286844.0,286919.0,286906.0,286864.0,286468.0,285704.0,285243.0,284934.0,284924.0,286501.5
13358,84512,13553,60461,IL,Olympia Fields,Chicago-Naperville-Elgin,Cook County,223950.0,224427.0,225579.0,226914.0,226628.0,225304.0,224454.0,224044.0,223501.0,222916.0,222195.0,222238.0,224345.83
13812,84507,14024,60456,IL,Hometown,Chicago-Naperville-Elgin,Cook County,139236.0,139918.0,139898.0,140108.0,140350.0,140865.0,141633.0,141845.0,141701.0,141109.0,140668.0,139913.0,140603.67
13862,84520,14080,60469,IL,Posen,Chicago-Naperville-Elgin,Cook County,114136.0,115120.0,115418.0,116157.0,115822.0,116575.0,117228.0,117392.0,116636.0,115898.0,115762.0,115961.0,116008.75
13869,84412,14080,60163,IL,Berkeley,Chicago-Naperville-Elgin,Cook County,193251.0,193787.0,194571.0,195334.0,195724.0,196526.0,197717.0,199130.0,200121.0,200679.0,200788.0,201062.0,197390.83
14332,84452,14565,60301,IL,Oak Park,Chicago-Naperville-Elgin,Cook County,213656.0,214374.0,215557.0,216389.0,216201.0,215372.0,215213.0,215000.0,214509.0,213529.0,212492.0,211390.0,214473.5
14478,84446,14717,60203,IL,Evanston,Chicago-Naperville-Elgin,Cook County,411933.0,410170.0,408361.0,407760.0,406812.0,406499.0,407096.0,407156.0,406130.0,404912.0,404039.0,403388.0,407021.33
16362,84414,16707,60165,IL,Stone Park,Chicago-Naperville-Elgin,Cook County,167145.0,167231.0,168785.0,169921.0,170543.0,171272.0,173123.0,175008.0,175432.0,175845.0,176002.0,177160.0,172288.92
17373,84527,17791,60476,IL,Thornton,Chicago-Naperville-Elgin,Cook County,112713.0,113995.0,115628.0,116701.0,117426.0,117227.0,117504.0,117856.0,118384.0,118532.0,118554.0,118282.0,116900.17
18288,84604,18836,60602,IL,Chicago,Chicago-Naperville-Elgin,Cook County,578516.0,576124.0,572384.0,570782.0,569036.0,568290.0,566351.0,563842.0,561445.0,560608.0,558140.0,554855.0,566697.75
18356,84306,18905,60043,IL,Kenilworth,Chicago-Naperville-Elgin,Cook County,1389483.0,1380013.0,1374107.0,1371759.0,1370899.0,1367546.0,1366454.0,1363611.0,1358468.0,1353206.0,1347537.0,1344280.0,1365613.58
18992,84605,19621,60603,IL,Chicago,Chicago-Naperville-Elgin,Cook County,650723.0,646520.0,643094.0,640866.0,640291.0,638530.0,637274.0,636387.0,636696.0,638381.0,638529.0,637470.0,640396.75
20389,84606,21208,60604,IL,Chicago,Chicago-Naperville-Elgin,Cook County,521981.0,514400.0,508653.0,508692.0,509352.0,509039.0,509142.0,508869.0,509586.0,509491.0,508130.0,505839.0,510264.5
21825,84392,22871,60141,IL,Broadview,Chicago-Naperville-Elgin,Cook County,52414.0,52390.0,51910.0,52293.0,53023.0,53357.0,53527.0,53417.0,53623.0,53471.0,52974.0,51766.0,52847.08
26193,84294,28012,60029,IL,Golf,Chicago-Naperville-Elgin,Cook County,773891.0,771842.0,771078.0,772594.0,774405.0,776670.0,779389.0,779052.0,777798.0,777038.0,777645.0,775573.0,775581.25
